pvals_adj,fc,AUROC,cluster,Gene,cell_type
4.920656885380106e-98,0.79784006,0.87415625,NK-cell0,AC128707.1,NK-cell
1.2790296846746697e-97,0.7764819,0.873345703125,NK-cell0,AC109349.1,NK-cell
4.652484735197966e-97,0.7981987,0.872248046875,NK-cell0,AL591463.1,NK-cell
4.680626577661252e-97,0.79534346,0.8722421874999999,NK-cell0,LINC01608,NK-cell
2.858473333379678e-96,0.79928553,0.870705078125,NK-cell0,GABRG2,NK-cell
3.74027405625867e-96,0.7873791,0.8704755859375,NK-cell0,LINC02045,NK-cell
3.982876050507242e-96,0.78732353,0.870421875,NK-cell0,COLEC10,NK-cell
5.675783289427908e-96,0.79795605,0.87012109375,NK-cell0,SEMA3C,NK-cell
7.403059031016695e-96,0.5701805,0.8698916015625,NK-cell0,CST7,NK-cell
8.127168462599122e-96,0.79632956,0.869810546875,NK-cell0,AP001596.1,NK-cell
9.53040592442923e-96,0.797706,0.869673828125,NK-cell0,AC090348.1,NK-cell
1.5132769319247906e-94,0.770874,0.867294921875,NK-cell0,KLRD1,NK-cell
2.4017463753769136e-93,0.7863941,0.86490625,NK-cell0,TYR,NK-cell
3.875748775066855e-93,0.79287934,0.86448828125,NK-cell0,LINC01781,NK-cell
5.230904024067208e-93,0.7836841,0.8642265625000001,NK-cell0,SI,NK-cell
2.6543833513154423e-108,0.70678365,0.9000751552549345,NK-cell1,IL2RB,NK-cell
9.960338788306501e-100,0.76530284,0.8837011985285392,NK-cell1,KLRD1,NK-cell
1.773549238827685e-74,0.62832457,0.8323780704877181,NK-cell1,CD247,NK-cell
4.035747509372965e-72,0.73115844,0.8269392033542977,NK-cell1,SH2D1B,NK-cell
2.2688940939906215e-64,0.4921553,0.8091194968553459,NK-cell1,TBX21,NK-cell
1.0401715785328069e-63,0.6880501,0.8070912938570468,NK-cell1,PRF1,NK-cell
3.2513140363375896e-83,0.54400545,0.8564868213080439,NK-cell2,CD247,NK-cell
4.104932058525383e-79,0.58894163,0.8471335811012859,NK-cell2,AC068775.1,NK-cell
5.204645829196938e-75,0.50396585,0.8373446110470332,NK-cell2,KLRC4-KLRK1,NK-cell
4.75487088769736e-69,0.7626415,0.8231107693622111,NK-cell2,KLRD1,NK-cell
1.4368984207232263e-67,0.66219735,0.8194497842710069,NK-cell2,CST7,NK-cell
8.612478790051231e-92,0.7524728,0.9121353325643983,NK-cell3,ZBTB16,NK-cell
1.2786301247288769e-86,0.71804917,0.8995893886966551,NK-cell3,IL2RB,NK-cell
1.2446997680165081e-77,0.56456095,0.878477508650519,NK-cell3,CD247,NK-cell
4.3713154481371815e-76,0.56604636,0.8745467128027682,NK-cell3,CX3CR1,NK-cell
3.969388378962123e-74,0.52847725,0.8696132256824298,NK-cell3,CXXC5,NK-cell
1.274750224395455e-73,0.37608227,0.8682122260668974,NK-cell3,TBX21,NK-cell
1.0196271411570803e-69,0.7421164,0.8583898500576701,NK-cell3,TTC38,NK-cell
1.323663320060231e-69,0.69520885,0.8579761630142253,NK-cell3,SH2D1B,NK-cell
1.0272247133587594e-65,0.59600407,0.8479323337178009,NK-cell3,PRF1,NK-cell
6.612086266944413e-63,0.6587407,0.8403752402921953,NK-cell3,AL031283.1,NK-cell
1.1431303720578895e-61,0.5746104,0.8369058054594387,NK-cell3,NMUR1,NK-cell
8.078591766533543e-60,0.7730759,0.8317693194925029,NK-cell3,KLRF1,NK-cell
6.169138779579723e-54,0.7017458,0.815126489811611,NK-cell3,PLEK,NK-cell
1.9537848190512632e-52,0.705569,0.8106912725874664,NK-cell3,CD300A,NK-cell
5.435324048391445e-50,0.69022954,0.8034171472510573,NK-cell3,CST7,NK-cell
4.492909588394933e-52,0.46489388,0.8540449999999999,NK-cell4,KLRC4-KLRK1,NK-cell
2.4721946637466353e-49,0.7719232,0.8440449999999999,NK-cell4,KLRD1,NK-cell
9.902748645388858e-44,0.46274498,0.8827966706302022,NK-cell5,MPO,NK-cell
8.668758088199277e-28,0.7643552,0.803243757431629,NK-cell5,AC092723.4,NK-cell
1.7099458728132935e-22,0.31472254,0.9757016532103038,NK-cell9,CD247,NK-cell
1.0651668732698702e-21,0.33069602,0.9616685890042291,NK-cell9,AC068775.1,NK-cell
1.0651668732698702e-21,0.78534573,0.9600922722029989,NK-cell9,EVC2,NK-cell
1.6626968065291185e-21,0.7767071,0.9565551710880431,NK-cell9,WDFY4,NK-cell
2.0045617329109993e-21,0.79422235,0.9546328335255672,NK-cell9,LINC01170,NK-cell
2.4854738975458244e-21,0.784739,0.9530949634755863,NK-cell9,AL136441.1,NK-cell
2.756040400508805e-21,0.79258555,0.9518646674356017,NK-cell9,DIRC3,NK-cell
3.4786957909201066e-21,0.792879,0.9504036908881199,NK-cell9,PTPRD,NK-cell
5.391794650196586e-21,0.7989214,0.9454825067281815,NK-cell9,HHAT,NK-cell
7.269913753867914e-21,0.7783525,0.9435601691657055,NK-cell9,ADGRB3,NK-cell
8.808599999909745e-21,0.7959612,0.9413302575932334,NK-cell9,MGAT4C,NK-cell
8.978361000712133e-21,0.79065204,0.9411764705882353,NK-cell9,PARD3B,NK-cell
1.0256423367827501e-20,0.7850329,0.9400999615532487,NK-cell9,SPEF2,NK-cell
1.0256423367827501e-20,0.76477623,0.9399461745482507,NK-cell9,LINC01684,NK-cell
1.4843832428946952e-20,0.76102024,0.9375624759707805,NK-cell9,SPTLC3,NK-cell
2.1467331569835556e-20,0.78692454,0.9354094579008074,NK-cell9,TRDN,NK-cell
2.26986159112636e-20,0.7748498,0.9350249903883122,NK-cell9,NEGR1,NK-cell
2.474368313800938e-20,0.79644567,0.9342560553633218,NK-cell9,AL583785.1,NK-cell
2.474368313800938e-20,0.79376197,0.9342560553633218,NK-cell9,SPOCK3,NK-cell
2.5357957390961845e-20,0.78977805,0.9340253748558247,NK-cell9,LINC02223,NK-cell
3.4062876250738174e-20,0.79761606,0.9321030372933488,NK-cell9,KHDRBS2,NK-cell
3.5371457666835485e-20,0.7994858,0.9317954632833525,NK-cell9,AC019211.1,NK-cell
3.64954233621444e-20,0.7701997,0.9314878892733565,NK-cell9,C5orf67,NK-cell
3.64954233621444e-20,0.76933557,0.9314878892733565,NK-cell9,AL583836.1,NK-cell
5.297737982690044e-20,0.7810028,0.9291041906958861,NK-cell9,PPFIA2,NK-cell
5.943039360385916e-20,0.78224593,0.9283352556708958,NK-cell9,AL390800.1,NK-cell
7.527626311841944e-20,0.7844089,0.926874279123414,NK-cell9,PKHD1,NK-cell
1.024870391130793e-19,0.7907915,0.92479815455594,NK-cell9,AP000561.1,NK-cell
1.0758922549631613e-19,0.7882952,0.9244905805459439,NK-cell9,CYYR1-AS1,NK-cell
1.1452572352397286e-19,0.79686266,0.9241830065359478,NK-cell9,LINC00871,NK-cell
1.322485478718914e-19,0.794246,0.9233371780084583,NK-cell9,CAPN13,NK-cell
1.5229374791922235e-19,0.79011434,0.9225682429834678,NK-cell9,LNCAROD,NK-cell
1.9165872241991886e-19,0.79860175,0.9211841599384851,NK-cell9,COL13A1,NK-cell
2.0845096832534169e-19,0.79699045,0.920722798923491,NK-cell9,LINC01182,NK-cell
2.213024510800802e-19,0.7614344,0.9203383314109957,NK-cell9,BMP5,NK-cell
2.7189072493071737e-19,0.7817203,0.9191080353710112,NK-cell9,AL445255.1,NK-cell
2.870624014963186e-19,0.7915819,0.9187235678585159,NK-cell9,LINC01378,NK-cell
3.807552996123219e-19,0.7984342,0.9170319108035371,NK-cell9,AC124290.1,NK-cell
3.85833432517903e-19,0.7732267,0.9169550173010381,NK-cell9,AL353604.1,NK-cell
4.123036652565295e-19,0.7834068,0.9165705497885428,NK-cell9,THSD7A,NK-cell
4.178207768081912e-19,0.7734204,0.9164936562860438,NK-cell9,AL807761.4,NK-cell
4.969417079836235e-19,0.78597623,0.9154940407535563,NK-cell9,GALNT14,NK-cell
6.50213944356288e-19,0.7958296,0.9139561707035755,NK-cell9,AC008825.1,NK-cell
